[2018-04-06 14:11:44,802] (INFO) kaztron.bootstrap: Welcome to KazTron v2.1a1, booting up...
[2018-04-06 14:11:44,816] (INFO) discord.client: on_error has successfully been registered as an event
[2018-04-06 14:11:45,184] (INFO) discord.client: logging in using static token
[2018-04-06 14:11:45,884] (INFO) discord.gateway: Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6
[2018-04-06 14:11:45,889] (INFO) discord.gateway: sent the identify payload to create the websocket
[2018-04-06 14:11:48,042] (INFO) kaztron.cog.core: Bot name BunnyBot
[2018-04-06 14:11:48,043] (INFO) kaztron.cog.core: KazTron version 2.1a1
[2018-04-06 14:11:48,044] (INFO) kaztron.cog.core: discord.py version 0.16.12
[2018-04-06 14:11:48,045] (INFO) kaztron.cog.core: Logged in as BunnyBot (id:419666307407937537)
[2018-04-06 14:11:48,051] (WARNING) kaztron.cog.role_man: In-voice role management is disabled (not configured).
[2018-04-06 14:11:48,055] (INFO) kaztron.cog.role_man: Adding managed role Sprinter
[2018-04-06 14:11:48,057] (INFO) kaztron.cog.sprint: Restoring task for current state...
[2018-04-06 14:11:48,058] (INFO) kaztron.cog.sprint: No sprint, no task needs restoring.
[2018-04-06 14:11:48,059] (INFO) kaztron.cog.core: Cog ready: WritingSprint
[2018-04-06 14:11:48,060] (INFO) kaztron.cog.core: Cog ready: WeatherCog
[2018-04-06 14:11:48,062] (INFO) kaztron.cog.core: Cog ready: PointsCog
[2018-04-06 14:11:48,063] (INFO) kaztron.cog.core: Cog ready: QuoteCog
[2018-04-06 14:11:48,065] (INFO) kaztron.cog.core: Cog ready: ColorCog
[2018-04-06 14:11:48,066] (INFO) kaztron.cog.role_man: Adding managed role Going Hoarse
[2018-04-06 14:11:48,068] (INFO) kaztron.cog.core: Cog ready: ReadingCog
[2018-04-06 14:11:48,070] (INFO) kaztron.cog.core: Cog ready: DiceCog
[2018-04-06 14:11:48,071] (INFO) kaztron.cog.core: Cog ready: PingCog
[2018-04-06 14:11:48,310] (INFO) kaztron.cog.core: Cog ready: CoreCog
[2018-04-06 14:11:48,483] (INFO) kaztron.cog.role_man: Setting up managed roles from configuration
[2018-04-06 14:11:48,492] (INFO) kaztron.cog.core: Cog ready: RoleManager
[2018-04-06 14:36:28,995] (INFO) kaztron.checks: Validated command in allowed channel bot
[2018-04-06 14:59:19,030] (INFO) kaztron.checks: Validated command in allowed channel lounge
[2018-04-06 15:12:32,193] (INFO) kaztron.checks: Validated command in allowed channel bot
[2018-04-06 15:43:48,844] (INFO) kaztron.checks: Validated command in allowed channel bot
[2018-04-06 17:24:09,134] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
[2018-04-06 17:24:09,142] (WARNING) kaztron.cog.core: Bad argument passed in command: [2018-04-06 17:24:08 UTC] <#sprints-with-lychees:Kauyon Kais#5631> '.w s 2 20'
The duration must be between 5.0 and 60.0 minutes
[2018-04-06 17:24:20,352] (INFO) kaztron.checks: Validated command in allowed channel sprints-with-lychees
